target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope
0.0001,9.9e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0032448082260353095, 0.0032476844604416716]}"
0.0001,0.000101,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0006646213925663649, -0.0006618219265703626]}"
0.0001,0.0001,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0012912866594012207, 0.0012937265437561415]}"
0.0001,0.000101,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0021310071960015504, -0.0021276786126757197]}"
0.0001,0.0001,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.00031573501110391134, 0.00031844537742809756]}"
0.0001,9.9e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.003213698688899285, -0.0032101636523504283]}"
0.0001,0.000101,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0006873283454324899, -0.0006845125362611308]}"
0.0001,0.0001,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.004233142735538419, 0.004236159227484411]}"
0.0001,9.9e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.001985558068587111, -0.0019822978460722097]}"
0.0001,0.0001,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0017001476156906867, 0.0017028124047403573]}"
0.0001,0.0001,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.005784029057268331, 0.005787244711229818]}"
0.0001,0.0001,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0020337135504095616, -0.0020304221553563095]}"
0.0001,0.000101,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.000538616703928668, -0.0005358453164784512]}"
0.0001,0.0001,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.004540245265518672, 0.004543286815672175]}"
0.0001,0.0001,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0014158859097564995, -0.0014128064087056997]}"
0.0001,0.0001,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0008646258236099851, 0.0008671468990139129]}"
0.0001,0.000101,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0034070971499238272, -0.003403403710385433]}"
0.0001,0.000101,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0037795100681028344, 0.0037825137856662716]}"
0.0001,0.0001,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0010149925865857617, 0.0010174376587049605]}"
0.0001,0.0001,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.005442238043858271, 0.005445381265612275]}"
0.0001,0.0001,9000,hydrogen,"('ux','uy','uz')","['uy','uz']","{'ux': [-0.08265462453404628, 0.13213440701820814], 'uy': [0.035240520826344726, 0.057557883739971116], 'uz': [0.24923130734573182, 0.2577419200026279]}"
0.0001,0.0001,9000,hydrogen,"('ux','uy','uz')","['uz','uy']","{'ux': [-0.07584059947214916, 0.05689526787888857], 'uy': [0.004575165688101408, 0.005047746389175975], 'uz': [0.20489362044372103, 0.21140339766336622]}"
0.0001,0.0001,9000,hydrogen,"('ux','uy','uz')","['uz','uy']","{'ux': [-0.09767533585878753, 0.14089898492352296], 'uy': [-0.02192141878866153, -0.018741901137225674], 'uz': [0.2087352816848082, 0.21461092467365311]}"
0.0001,0.0001,9000,hydrogen,"('ux','uy','uz')","['uz','uy']","{'ux': [-0.005086486610627288, -0.00040147227178795184], 'uy': [-0.0021820929921123836, -0.0016548210657149364], 'uz': [0.13524095492664565, 0.14595081808689045]}"
0.0001,0.0001,9000,hydrogen,"('ux','uy','uz')","['uy','ux']","{'ux': [-0.03556081225306461, -0.03418475025867737], 'uy': [0.02001164489634463, 0.022006011528775436], 'uz': [0.005829543647867463, 0.4312701699054299]}"
0.0001,0.000101,9000,hydrogen,"('ux','uy','uz')","['uz','uy']","{'ux': [-0.024408955587684026, 0.1264393312695684], 'uy': [-0.04492161134774187, -0.0391201818537193], 'uz': [0.2151067222752631, 0.23439646260455985]}"
