query_seq,target_percentage,select_set,test_type,test_name,index_type,storage,secondary,direct_block_read,read_groups,skip_offset,query_index_time_elapsed,remove_duplication_time_elapsed,sort_block_metadata_time_elapsed,find_optimal_read_solution_time_elapsed,generate_select_array_time_elapsed,get_target_data_time_elapsed,get_support_data_time_elapsed,data_calculation_time_elapsed,data_apply_select_time_elapsed,apply_particle_level_select_array_time_elapsed,total_time_elapsed,query_result_size,chunk_range_size,current_percentage,iteration,species,expand_set,envelope,data_size
0.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,71.83025360107422,7.454584836959839,10.152745485305786,2.0380172729492188,0.21732687950134277,91.97244715690613,,,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [0.0031552064001916886, 0.0031580667993416738]}",92512.0
0.0,0.01%,"('ux',)",2.0,GeoIndex,Min-Max,File,None,True,False,,0.019206762313842773,,,,0.01634812355041504,13.563451528549194,1.485253095626831,3.0421247482299805,1.1930038928985596,0.13317441940307617,19.593239068984985,3987.0,3987.0,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [0.0031552064001916886, 0.0031580667993416738]}",92512.0
0.0,0.01%,"('ux',)",3.0,GeoIndex,Rtree,File,None,True,False,,0.02976846694946289,,,,0.01630997657775879,13.449751138687134,1.560960292816162,3.18182110786438,1.270110845565796,0.13678741455078125,19.78997254371643,3987.0,3987.0,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [0.0031552064001916886, 0.0031580667993416738]}",92512.0
0.0,0.01%,"('ux',)",4.0,GeoIndex,Min-Max,File,None,False,True,,0.019108057022094727,,0.0010116100311279297,0.2151484489440918,,6.508651971817017,1.8705992698669434,3.2781264781951904,1.3063573837280273,0.13865208625793457,13.486643314361572,3987.0,668.0,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [0.0031552064001916886, 0.0031580667993416738]}",92512.0
0.0,0.01%,"('ux',)",5.0,GeoIndex,Rtree,File,None,False,True,,0.02992081642150879,,0.0010600090026855469,0.2134997844696045,,6.276671409606934,1.7800118923187256,3.1536779403686523,1.2390179634094238,0.1360623836517334,12.97421908378601,3987.0,668.0,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [0.0031552064001916886, 0.0031580667993416738]}",92512.0
0.0,0.01%,"('ux',)",22.0,GeoIndex,Min-Max,File,None,True,False,True,0.018845558166503906,,,,0.01627039909362793,13.282615900039673,1.496579647064209,0.13341331481933594,1.1997661590576172,0.13327550888061523,16.400145053863525,3987.0,3987.0,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [0.0031552064001916886, 0.0031580667993416738]}",92532.0
0.0,0.01%,"('ux',)",23.0,GeoIndex,Rtree,File,None,True,False,True,0.029575586318969727,,,,0.016147851943969727,13.480488300323486,1.5370845794677734,0.13659334182739258,1.2569618225097656,0.1357121467590332,16.714686632156372,3987.0,3987.0,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [0.0031552064001916886, 0.0031580667993416738]}",92532.0
0.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,0.01929330825805664,,0.001050710678100586,0.21280479431152344,,6.319138765335083,1.8017323017120361,0.13780999183654785,1.2596423625946045,0.13658595085144043,10.011574506759644,3987.0,668.0,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [0.0031552064001916886, 0.0031580667993416738]}",92532.0
0.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,0.03016829490661621,,0.0010533332824707031,0.2120368480682373,,6.315265417098999,1.7785675525665283,0.13617849349975586,1.2285220623016357,0.13492941856384277,9.958476305007935,3987.0,668.0,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [0.0031552064001916886, 0.0031580667993416738]}",92532.0
1.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,70.74751281738281,7.377116441726685,10.044489860534668,2.0032622814178467,0.21630048751831055,90.6654360294342,,,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [0.005203466907597925, 0.005206620128152519]}",93357.0
