query_seq,target_percentage,select_set,test_type,test_name,index_type,storage,secondary,direct_block_read,read_groups,skip_offset,query_index_time_elapsed,remove_duplication_time_elapsed,sort_block_metadata_time_elapsed,find_optimal_read_solution_time_elapsed,generate_select_array_time_elapsed,get_target_data_time_elapsed,get_support_data_time_elapsed,data_calculation_time_elapsed,data_apply_select_time_elapsed,apply_particle_level_select_array_time_elapsed,total_time_elapsed,query_result_size,chunk_range_size,current_percentage,iteration,species,expand_set,envelope,data_size
0.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,12.94894528388977,7.352801561355591,11.851943254470825,1.9966442584991455,0.2151484489440918,34.609304904937744,,,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.004144893591408517, 0.004147921531466348]}",93524.0
1.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,14.500111103057861,7.652022838592529,12.31677508354187,2.0938329696655273,0.22045111656188965,37.03338265419006,,,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [-0.0018582096358192033, -0.0018549649581668533]}",92937.0
2.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,13.669306993484497,7.6345603466033936,12.30316948890686,2.094311475753784,0.21946382522583008,36.17141079902649,,,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [-0.0031495797427568534, -0.003146075684951091]}",92482.0
3.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,13.660027503967285,7.643219470977783,12.306771516799927,2.0932748317718506,0.21984100341796875,36.17398452758789,,,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.0014517866755539288, 0.0014542663553371643]}",93651.0
4.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,13.258738040924072,7.633729696273804,12.161927223205566,2.067018985748291,0.2187201976776123,35.586400508880615,,,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [0.0036048170266257205, 0.003607771487975177]}",92616.0
5.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,12.966951131820679,7.336447238922119,11.816738843917847,1.9868454933166504,0.21459627151489258,34.56459283828735,,,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.004913253329422409, 0.0049164007138380195]}",93601.0
6.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,13.79721736907959,7.636154651641846,12.309948205947876,2.095839500427246,0.31504178047180176,36.4040687084198,,,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [0.0010896700329955235, 0.0010921214008652118]}",92801.0
7.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,12.798747062683105,7.215053558349609,11.630554914474487,1.9538764953613281,0.21337246894836426,34.05013036727905,,,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.0037754413547513455, 0.003778426934885847]}",93666.0
8.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,13.573005437850952,7.6316258907318115,12.29930567741394,2.096076726913452,0.2583496570587158,36.10930633544922,,,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [-0.0008329317000164371, -0.0008300853165446716]}",93644.0
9.0,0.01%,"('ux',)",1.0,Original,,,,,False,,,,,,,13.00741457939148,7.405415773391724,11.969576358795166,2.026400566101074,0.21588826179504395,34.87031435966492,,,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [-0.0034070971499238272, -0.003403403710385433]}",93515.0
10.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,24.848942279815674,14.502637147903442,23.364383220672607,3.9269587993621826,0.41302013397216797,67.3482768535614,,,0.000101,9000.0,hydrogen,"['ux','uy']","{'ux': [0.04866854046122986, 0.06098227556214703], 'uy': [-0.03533924927105664, -0.024720739916375207]}",93587.0
11.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,26.125670194625854,15.249252557754517,24.502922534942627,4.191284894943237,0.4223315715789795,70.79396963119507,,,0.000101,9000.0,hydrogen,"['ux','uy']","{'ux': [0.008884021175802718, 0.009299889703557333], 'uy': [0.001173799877671565, 0.0019742953742486226]}",93816.0
12.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,27.194799423217773,14.910216808319092,24.451387643814087,3.9445955753326416,0.41328001022338867,71.21470141410828,,,0.000101,9000.0,hydrogen,"['uy','ux']","{'ux': [-0.002133918903627296, -0.0014353416472080089], 'uy': [0.0075771335257138256, 0.00792106709068996]}",93845.0
13.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,25.027812957763672,14.680498361587524,23.606534719467163,4.002985715866089,0.41530394554138184,68.02894115447998,,,0.000101,9000.0,hydrogen,"['uy','ux']","{'ux': [0.011824907074292047, 0.012231274749088972], 'uy': [-0.0014764686683885167, -0.0001548174419648367]}",93615.0
14.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,25.015023708343506,14.539087295532227,23.389136791229248,3.940640449523926,0.4131896495819092,67.58962678909302,,,9.9e-05,9000.0,hydrogen,"['ux','uy']","{'ux': [0.006984175432670402, 0.007278734680914117], 'uy': [0.02632181070603009, 0.027115786324340314]}",92124.0
15.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,27.464495420455933,14.775081872940063,23.948596477508545,4.042948484420776,0.4162168502807617,70.94400811195374,,,9.9e-05,9000.0,hydrogen,"['uy','ux']","{'ux': [0.004518642365085737, 0.0049142015349831], 'uy': [0.023341164083618218, 0.0237463270027953]}",92554.0
16.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,27.381489515304565,15.261106491088867,24.509357213974,4.188836097717285,0.4250044822692871,72.06968665122986,,,0.000101,9000.0,hydrogen,"['uy','ux']","{'ux': [-0.04103763117200421, -0.03528587840184032], 'uy': [-0.04422508945262112, -0.02801977157920773]}",93738.0
17.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,24.805931568145752,14.542529582977295,23.39297842979431,3.945127010345459,0.41323399543762207,67.39343118667603,,,0.0001,9000.0,hydrogen,"['uy','ux']","{'ux': [0.010477875429680521, 0.010741702420121648], 'uy': [0.017873993857531124, 0.018605000156664882]}",93390.0
18.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,24.790279626846313,14.549785375595093,23.403716564178467,3.9413464069366455,0.412492036819458,67.39003038406372,,,0.0001,9000.0,hydrogen,"['ux','uy']","{'ux': [0.01715431443402908, 0.018327752613682427], 'uy': [-0.015324156171925722, -0.01468563867851326]}",92936.0
19.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,26.03169822692871,15.021132469177246,24.150452136993408,4.070704460144043,0.41652655601501465,69.99104046821594,,,0.0001,9000.0,hydrogen,"['uy','ux']","{'ux': [0.03465609636553437, 0.04472281250539615], 'uy': [-0.03171369821216902, -0.026937406432944514]}",92981.0
20.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,27.60213804244995,14.971307039260864,24.468989610671997,4.122455596923828,0.42053961753845215,71.88658809661865,,,0.000101,9000.0,hydrogen,"['uy','ux']","{'ux': [0.046637364827034414, 0.05920882168654555], 'uy': [0.00878599520005362, 0.020671664303665894]}",93790.0
21.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,25.327174425125122,14.767385005950928,23.773725509643555,4.04226279258728,0.4164395332336426,68.62384676933289,,,0.0001,9000.0,hydrogen,"['uy','ux']","{'ux': [0.02182401330638944, 0.02279178567436718], 'uy': [-0.008155851856454252, -0.006933230537839027]}",92601.0
22.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,24.94579768180847,14.658432245254517,23.585211753845215,3.9748637676239014,0.41618824005126953,67.87428498268127,,,0.0001,9000.0,hydrogen,"['uy','ux']","{'ux': [0.020888912468416156, 0.025117535907202455], 'uy': [-0.05506988777894833, -0.0434646932921279]}",92602.0
23.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,25.31922149658203,14.799602270126343,23.792837381362915,4.039719581604004,0.4195694923400879,68.66891765594482,,,0.0001,9000.0,hydrogen,"['uy','ux']","{'ux': [0.04279819058701789, 0.06471117180363546], 'uy': [-0.09968100782499777, -0.07156017329688237]}",104364.0
24.0,0.01%,"('ux','uy')",1.0,Original,,,,,False,,,,,,,26.466983318328857,14.435964822769165,23.6467022895813,3.905796527862549,0.4132201671600342,69.16135001182556,,,9.9e-05,9000.0,hydrogen,"['ux','uy']","{'ux': [0.005243803830965649, 0.00572271985335154], 'uy': [-0.00541659630771866, -0.0048500694644372415]}",92233.0
25.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,38.383506059646606,22.4445161819458,36.04414629936218,6.073652505874634,0.6244997978210449,103.92158007621765,,,0.000101,9000.0,hydrogen,"['uy','ux']","{'ux': [-0.03040369343568543, -0.02854148490694151], 'uy': [0.0015033027935720705, 0.0028677454701284836], 'uz': [0.020412254506254803, 0.3562256813030758]}",93701.0
26.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,37.24002027511597,22.058258533477783,35.39412450790405,5.96368932723999,0.6192731857299805,101.62219071388245,,,0.000101,9000.0,hydrogen,"['ux','uy','uz']","{'ux': [-0.00041700401979560884, 0.0006331925186419624], 'uy': [-0.008698224269997942, -0.003669608441617628], 'uz': [0.042832841407499114, 0.06010127950034712]}",93775.0
27.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,37.29616689682007,22.130810737609863,35.59147095680237,6.068126678466797,0.6251637935638428,102.06096172332764,,,0.0001,9000.0,hydrogen,"['uy','uz']","{'ux': [-0.08265462453404628, 0.13213440701820814], 'uy': [0.035240520826344726, 0.057557883739971116], 'uz': [0.24923130734573182, 0.2577419200026279]}",92849.0
28.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,38.06858158111572,22.22959542274475,35.72367191314697,6.028122186660767,0.6274576187133789,103.02693915367126,,,0.0001,9000.0,hydrogen,"['ux','uy']","{'ux': [-0.03266348092251156, -0.024616106611568482], 'uy': [-0.057096741982917, -0.04476030609149711], 'uz': [0.005758114546471596, 0.4783200191391092]}",93306.0
29.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,36.94420838356018,21.881179332733154,34.98513579368591,5.921043395996094,0.6183047294616699,100.69654965400696,,,0.0001,9000.0,hydrogen,"['ux','uy']","{'ux': [0.0034994992185473223, 0.004181956512385218], 'uy': [-0.0016323329687035816, -0.0011698111304221858], 'uz': [0.005216021843463362, 0.13997911297406523]}",93359.0
30.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,36.597126483917236,21.703741550445557,34.880722999572754,5.855454921722412,0.6684224605560303,100.05039143562317,,,0.0001,9000.0,hydrogen,"['ux','uz','uy']","{'ux': [0.03696712406277435, 0.1348441798209794], 'uy': [0.004035807138584365, 0.05170595674322011], 'uz': [0.02665568935308804, 0.2868630158432907]}",1899787.0
31.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,37.46510434150696,22.16913628578186,35.65730857849121,6.056997299194336,0.6239068508148193,102.32240009307861,,,0.000101,9000.0,hydrogen,"['ux','uy']","{'ux': [-0.026617355473412648, -0.025242708385864985], 'uy': [0.008092833170090753, 0.00940106039616176], 'uz': [0.005596199938615793, 0.480223786812431]}",93911.0
32.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,36.89487552642822,21.8973126411438,35.161046743392944,6.0013954639434814,0.623187780380249,100.92615628242493,,,0.0001,9000.0,hydrogen,"['ux','uz']","{'ux': [-0.020059538298075004, -0.018670293073972194], 'uy': [-0.11213364056896803, 0.03688029410905856], 'uz': [0.14628624191611744, 0.149966313063638]}",92944.0
33.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,38.1679048538208,22.511314630508423,36.265528202056885,6.179930686950684,0.6261250972747803,104.10397100448608,,,9.9e-05,9000.0,hydrogen,"['ux','uz','uy']","{'ux': [0.00597212203505612, 0.013380840952379], 'uy': [-0.058541553241165147, -0.04740815575951234], 'uz': [0.08935351050659447, 0.12570393042975778]}",93985.0
34.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,36.80189633369446,21.874776363372803,34.99233603477478,5.920404434204102,0.61946702003479,100.5570113658905,,,0.0001,9000.0,hydrogen,"['ux','uy','uz']","{'ux': [-0.03993147598888767, -0.008399093795388668], 'uy': [-0.04414350296677447, -0.033828816855114976], 'uz': [0.18058034934371237, 0.21039487286657588]}",103704.0
35.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,39.25363326072693,22.2014582157135,35.60758328437805,5.984987735748291,0.6266124248504639,104.02313709259033,,,9.9e-05,9000.0,hydrogen,"['uz','uy','ux']","{'ux': [0.0103758400952081, 0.017474915289005476], 'uy': [0.012755937906199414, 0.017119392879593635], 'uz': [0.24422693025063327, 0.3019360385933436]}",105643.0
36.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,38.574785470962524,22.81631875038147,36.627147912979126,6.289163112640381,0.6357190608978271,105.29963064193726,,,0.0001,9000.0,hydrogen,"['uz','uy']","{'ux': [-0.08389534213643277, 0.052220847022101724], 'uy': [0.040568206796114274, 0.05092338157146454], 'uz': [0.33323467123472583, 0.36111610825245954]}",93234.0
37.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,36.98306632041931,21.781301498413086,34.932841062545776,5.890728235244751,0.6197164058685303,100.55336046218872,,,0.0001,9000.0,hydrogen,"['ux','uz']","{'ux': [0.006992966674432027, 0.008155246287630126], 'uy': [-0.01458166171171035, 0.09128451370263363], 'uz': [0.09251102354937803, 0.09526537636365244]}",93276.0
38.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,37.045634269714355,21.929553031921387,35.1964647769928,5.948151350021362,0.6234769821166992,101.0890953540802,,,0.0001,9000.0,hydrogen,"['uz','ux']","{'ux': [0.03371449916564221, 0.03909788234813454], 'uy': [-0.09492137196016649, 0.042138817842112236], 'uz': [0.16649001346148606, 0.17456062277586165]}",92772.0
39.0,0.01%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,37.5757794380188,22.298120260238647,35.76862573623657,6.09505820274353,0.6266739368438721,102.71632289886475,,,0.0001,9000.0,hydrogen,"['uz','uy']","{'ux': [-0.07584059947214916, 0.05689526787888857], 'uy': [0.004575165688101408, 0.005047746389175975], 'uz': [0.20489362044372103, 0.21140339766336622]}",93384.0
