query_seq,target_percentage,select_set,test_type,test_name,index_type,storage,secondary,direct_block_read,read_groups,skip_offset,query_index_time_elapsed,remove_duplication_time_elapsed,sort_block_metadata_time_elapsed,find_optimal_read_solution_time_elapsed,generate_select_array_time_elapsed,get_target_data_time_elapsed,get_support_data_time_elapsed,data_calculation_time_elapsed,data_apply_select_time_elapsed,apply_particle_level_select_array_time_elapsed,total_time_elapsed,query_result_size,chunk_range_size,current_percentage,iteration,species,expand_set,envelope,data_size
0.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,1.618166446685791,,0.09264874458312988,13.779488325119019,,148.2559208869934,2.3213417530059814,0.1273648738861084,1.1491856575012207,0.12611699104309082,167.59784865379333,262455.0,525.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.004144893591408517, 0.004147921531466348]}",93532.0
0.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,2.769831418991089,,0.09193873405456543,13.819159269332886,,148.31641483306885,2.144937038421631,0.13416266441345215,1.1486740112304688,0.1261143684387207,168.6792275905609,262455.0,525.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.004144893591408517, 0.004147921531466348]}",93532.0
1.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,1.595435619354248,,0.09197759628295898,13.257190465927124,,160.32658696174622,2.009258985519409,0.12196183204650879,1.0244781970977783,0.12091732025146484,178.60854935646057,255210.0,578.0,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [-0.0018582096358192033, -0.0018549649581668533]}",92926.0
1.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,2.7813851833343506,,0.09007072448730469,13.113686800003052,,160.2192234992981,2.0379271507263184,0.12391304969787598,1.133458137512207,0.12340283393859863,179.74818181991577,255210.0,578.0,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [-0.0018582096358192033, -0.0018549649581668533]}",92926.0
2.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,1.5434238910675049,,0.08582019805908203,12.837381601333618,,162.76574850082397,1.9022762775421143,0.11766362190246582,1.0202593803405762,0.1169121265411377,180.44838500022888,236882.0,578.0,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [-0.0031495797427568534, -0.003146075684951091]}",92441.0
2.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,2.6849963665008545,,0.08490943908691406,12.650875568389893,,159.19311833381653,1.892279863357544,0.1182858943939209,0.8454864025115967,0.1173553466796875,177.64342880249023,236882.0,578.0,9.9e-05,9000.0,hydrogen,{'ux'},"{'ux': [-0.0031495797427568534, -0.003146075684951091]}",92441.0
3.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,1.7138652801513672,,0.0984334945678711,14.999420166015625,,140.16134595870972,2.147812843322754,0.12864446640014648,1.175353765487671,0.12748956680297852,160.68291568756104,287189.0,490.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.0014517866755539288, 0.0014542663553371643]}",93636.0
3.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,2.8739376068115234,,0.09728717803955078,15.118725061416626,,139.75379347801208,2.2400333881378174,0.13171768188476562,1.1598844528198242,0.13052701950073242,161.57186126708984,287189.0,490.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.0014517866755539288, 0.0014542663553371643]}",93636.0
4.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,1.6597826480865479,,0.09521603584289551,13.557744026184082,,144.73535013198853,2.1731760501861572,0.13116955757141113,0.9355857372283936,0.13017582893371582,163.47945046424866,267417.0,506.0,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [0.0036048170266257205, 0.003607771487975177]}",92602.0
4.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,2.783830404281616,,0.09161496162414551,14.080309867858887,,145.08256149291992,2.272939443588257,0.13048815727233887,1.2198357582092285,0.1298079490661621,165.9234230518341,267417.0,506.0,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [0.0036048170266257205, 0.003607771487975177]}",92602.0
5.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,1.572490930557251,,0.09393763542175293,12.696036577224731,,144.11590218544006,2.062375545501709,0.12687301635742188,1.0697059631347656,0.1260519027709961,161.9261176586151,254706.0,500.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.004913253329422409, 0.0049164007138380195]}",93586.0
5.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,2.741567850112915,,0.09157514572143555,12.706342458724976,,141.27881240844727,2.3481531143188477,0.12746763229370117,1.1648387908935547,0.12618088722229004,160.71361994743347,254706.0,500.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.004913253329422409, 0.0049164007138380195]}",93586.0
6.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,1.6947131156921387,,0.09788346290588379,14.730023860931396,,142.1003234386444,2.140263795852661,0.12873196601867676,1.1874961853027344,0.12762069702148438,162.33820366859436,287255.0,500.0,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [0.0010896700329955235, 0.0010921214008652118]}",92804.0
6.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,2.85538649559021,,0.09696412086486816,14.961272954940796,,141.74166345596313,2.1818087100982666,0.13988447189331055,1.2253503799438477,0.12899088859558105,163.46446800231934,287255.0,500.0,0.0001,9000.0,hydrogen,{'ux'},"{'ux': [0.0010896700329955235, 0.0010921214008652118]}",92804.0
7.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,1.6088852882385254,,0.09449219703674316,13.514297008514404,,147.79236578941345,2.232175350189209,0.12781357765197754,1.0661084651947021,0.12658333778381348,166.6254060268402,265859.0,512.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.0037754413547513455, 0.003778426934885847]}",93688.0
7.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,2.777700185775757,,0.09202003479003906,13.555496215820312,,145.333664894104,2.1250603199005127,0.13034582138061523,1.113433599472046,0.12842226028442383,165.3192994594574,265859.0,512.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [0.0037754413547513455, 0.003778426934885847]}",93688.0
8.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,1.6279563903808594,,0.09405827522277832,14.463826417922974,,155.14911651611328,2.1417853832244873,0.12606596946716309,1.1440904140472412,0.12497806549072266,174.9996256828308,268429.0,555.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [-0.0008329317000164371, -0.0008300853165446716]}",93641.0
8.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,2.8181097507476807,,0.09202194213867188,14.55891489982605,,155.3974893093109,2.0184683799743652,0.12656307220458984,1.1564621925354004,0.1262357234954834,176.42262601852417,268429.0,555.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [-0.0008329317000164371, -0.0008300853165446716]}",93641.0
9.0,0.01%,"('ux',)",24.0,GeoIndex,Min-Max,File,None,False,True,True,1.48958420753479,,0.08480381965637207,13.183180332183838,,158.1851089000702,1.9710218906402588,0.11683893203735352,1.009606122970581,0.11585617065429688,176.21464490890503,233703.0,572.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [-0.0034070971499238272, -0.003403403710385433]}",93509.0
9.0,0.01%,"('ux',)",25.0,GeoIndex,Rtree,File,None,False,True,True,2.6774139404296875,,0.08537507057189941,13.034684896469116,,157.6772584915161,1.8432514667510986,0.11764311790466309,1.0201542377471924,0.11725902557373047,176.63168835639954,233703.0,572.0,0.000101,9000.0,hydrogen,{'ux'},"{'ux': [-0.0034070971499238272, -0.003403403710385433]}",93509.0
10.0,0.01%,"('ux','uy')",24.0,GeoIndex,Min-Max,File,None,False,True,True,2.168870687484741,0.06448888778686523,0.03862738609313965,1.2764151096343994,,83.65748143196106,0.5793085098266602,0.03983783721923828,0.25104808807373047,0.03891706466674805,88.2903220653534,31292.0,153.0,0.000101,9000.0,hydrogen,"['ux','uy']","{'ux': [0.04866854046122986, 0.06098227556214703], 'uy': [-0.03533924927105664, -0.024720739916375207]}",93584.0
10.0,0.01%,"('ux','uy')",25.0,GeoIndex,Rtree,File,None,False,True,True,1.866952657699585,,0.035658836364746094,1.2539069652557373,,83.67234325408936,0.57138991355896,0.03987884521484375,0.251739501953125,0.038909912109375,87.74216318130493,31292.0,153.0,0.000101,9000.0,hydrogen,"['ux','uy']","{'ux': [0.04866854046122986, 0.06098227556214703], 'uy': [-0.03533924927105664, -0.024720739916375207]}",93584.0
11.0,0.01%,"('ux','uy')",24.0,GeoIndex,Min-Max,File,None,False,True,True,3.3064045906066895,0.1518235206604004,0.09206509590148926,9.500229120254517,,248.51185417175293,3.6700615882873535,0.1909184455871582,1.7864456176757812,0.1888442039489746,267.7750403881073,182351.0,439.0,0.000101,9000.0,hydrogen,"['ux','uy']","{'ux': [0.008884021175802718, 0.009299889703557333], 'uy': [0.001173799877671565, 0.0019742953742486226]}",93815.0
