target_percentage,current_percentage,iteration,species,select_set,expand_set,envelope,fbindex_ux,fbindex_uy,fbindex_uz,fbindex_interaction,fbindex_result_num,fbindex_final_cost,fbindex_result
0.0001,9.945417454851014e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0031552064001916886, 0.0031580667993416738]}",2.1542348861694336,0.0,0.0,0.0,0,2.1542348861694336,0.0
0.0001,0.0001003688365307,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.005203466907597925, 0.005206620128152519]}",1.9636240005493164,0.0,0.0,0.0,0,1.9636240005493164,0.0
0.0001,9.940795778560016e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.00020618013270489013, 0.00020887145049310925]}",6.815873384475708,0.0,0.0,0.0,0,6.815873384475708,7307.0
0.0001,9.933809523701533e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0015129067903594696, 0.001515448836524627]}",2.184767723083496,0.0,0.0,0.0,0,2.184767723083496,0.0
0.0001,9.900168019536827e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.001182155152938388, 0.0011845827609552454]}",2.215970516204834,0.0,0.0,0.0,0,2.215970516204834,0.0
0.0001,9.919729533140583e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.003211284466012295, 0.0032141472566517833]}",2.087796211242676,0.0,0.0,0.0,0,2.087796211242676,0.0
0.0001,0.0001009825521498,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.00684407553898868, 0.006847352158006496]}",1.8713407516479492,0.0,0.0,0.0,0,1.8713407516479492,0.0
0.0001,0.000100738570634,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [-0.0003274879010628296, -0.00032473157103079836]}",5.157140016555786,0.0,0.0,0.0,0,5.157140016555786,7307.0
0.0001,0.000100220512966,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0008144780634201654, 0.0008170341450958107]}",2.252934694290161,0.0,0.0,0.0,0,2.252934694290161,0.0
0.0001,9.920804341580352e-05,9000,hydrogen,"('ux',)",{'ux'},"{'ux': [0.0012608624202297435, 0.0012632913446351088]}",2.213542938232422,0.0,0.0,0.0,0,2.213542938232422,0.0
