target_particle_number,use secondary,secondary size,query index,generate select array,apply secondary slice select array,calculate particle level select array,apply particle level select array,touched_cells,dimension
2344,False,10m,9.989738464355469e-05,5.7220458984375e-06,2.1457672119140625e-06,0.3334486484527588,0.03148674964904785,1,0
2344,False,10m,0.00019311904907226562,0.05955982208251953,0.13559341430664062,0.02645277976989746,0.0016903877258300781,1,0
53981,False,10m,0.00010919570922851562,7.62939453125e-06,2.1457672119140625e-06,0.5412576198577881,0.05584096908569336,1,0
53981,True,10m,0.00022077560424804688,0.10253763198852539,0.2516169548034668,0.054167985916137695,0.004055500030517578,1,0
90246,False,1k,0.00010037422180175781,7.62939453125e-06,1.9073486328125e-06,0.6946394443511963,0.0685575008392334,3,1
90246,True,10m,0.00019860267639160156,0.1387040615081787,0.41095852851867676,0.10747265815734863,0.009382009506225586,3,1
90246,True,1k,0.0002651214599609375,0.12311840057373047,0.19143939018249512,0.01427769660949707,0.0014064311981201172,3,1
90246,True,1n,0.2949681282043457,0.13980507850646973,0.06892728805541992,0.0002598762512207031,0.00020194053649902344,3,1
11224509,False,1k,0.00025200843811035156,1.71661376953125e-05,4.0531158447265625e-06,2.4089531898498535,0.2901608943939209,12,3
11224509,True,1k,0.00036454200744628906,0.4684469699859619,0.5513079166412354,0.23631811141967773,0.06328153610229492,12,3
11224509,True,10m,0.000263214111328125,0.5882425308227539,1.5442688465118408,1.012615442276001,0.14548921585083008,12,3
11224509,True,1n,1.0187675952911377,0.7235302925109863,0.2795553207397461,0.02834153175354004,0.04238271713256836,12,3
11290701,False,1k,0.00034880638122558594,2.002716064453125e-05,2.86102294921875e-06,2.4742226600646973,0.3077061176300049,14,3
11290701,True,1k,0.0004913806915283203,0.6015396118164062,1.5918231010437012,1.054823637008667,0.15840601921081543,14,3
11290701,True,10m,0.0002696514129638672,0.7631180286407471,3.014469623565674,2.1665167808532715,0.2720019817352295,14,3
1062818,False,1k,0.00017762184143066406,1.7881393432617188e-05,2.6226043701171875e-06,1.8154535293579102,0.1990199089050293,9,2
1062818,True,1k,0.0003204345703125,0.33522558212280273,0.2819368839263916,0.06891512870788574,0.007521152496337891,9,2
1062818,True,10m,0.00029087066650390625,0.38979244232177734,0.739966630935669,0.42170047760009766,0.04716634750366211,9,2
1062818,True,1n,0.7474880218505859,0.36306333541870117,0.18284916877746582,0.0019986629486083984,0.0021347999572753906,9,2
