query_seq,target_percentage,select_set,test_type,test_name,index_type,storage,secondary,direct_block_read,read_groups,skip_offset,query_index_time_elapsed,remove_duplication_time_elapsed,sort_block_metadata_time_elapsed,find_optimal_read_solution_time_elapsed,generate_select_array_time_elapsed,get_target_data_time_elapsed,get_support_data_time_elapsed,data_calculation_time_elapsed,data_apply_select_time_elapsed,apply_particle_level_select_array_time_elapsed,total_time_elapsed,query_result_size,chunk_range_size,current_percentage,iteration,species,expand_set,envelope,data_size
0.0,1.00%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,147.32159280776978,0.9961087703704834,1.5935266017913818,0.27149009704589844,0.03592371940612793,150.23993706703186,,,0.01005,500.0,electrons,['ux'],"{'ux': [-0.00011881396338614731, 0.00017925366700312126], 'uy': [6.68498903645834e-05, 0.00031670917711415053], 'uz': [2.6428103322899144e-05, 0.000249603688181954]}",416114.0
0.0,1.00%,"('ux','uy','uz')",22.0,GeoIndex,Min-Max,File,None,True,False,True,0.0997929573059082,0.00879979133605957,,,0.015494346618652344,23.456658124923706,0.3565394878387451,0.021182775497436523,0.07460212707519531,0.014876365661621094,24.07107925415039,3763.0,3763.0,0.01005,500.0,electrons,['ux'],"{'ux': [-0.00011881396338614731, 0.00017925366700312126], 'uy': [6.68498903645834e-05, 0.00031670917711415053], 'uz': [2.6428103322899144e-05, 0.000249603688181954]}",416114.0
0.0,1.00%,"('ux','uy','uz')",23.0,GeoIndex,Rtree,File,None,True,False,True,0.028639554977416992,,,,0.015263795852661133,23.18138074874878,0.35406970977783203,0.021073579788208008,0.07163691520690918,0.014711856842041016,23.69701385498047,3763.0,3763.0,0.01005,500.0,electrons,['ux'],"{'ux': [-0.00011881396338614731, 0.00017925366700312126], 'uy': [6.68498903645834e-05, 0.00031670917711415053], 'uz': [2.6428103322899144e-05, 0.000249603688181954]}",416114.0
0.0,1.00%,"('ux','uy','uz')",24.0,GeoIndex,Min-Max,File,None,False,True,True,0.09576106071472168,0.008020877838134766,0.0010914802551269531,0.11742472648620605,,0.8547649383544922,0.29131364822387695,0.03249096870422363,0.14955997467041016,0.02557229995727539,1.5928518772125244,3763.0,32.0,0.01005,500.0,electrons,['ux'],"{'ux': [-0.00011881396338614731, 0.00017925366700312126], 'uy': [6.68498903645834e-05, 0.00031670917711415053], 'uz': [2.6428103322899144e-05, 0.000249603688181954]}",416114.0
0.0,1.00%,"('ux','uy','uz')",25.0,GeoIndex,Rtree,File,None,False,True,True,0.02782750129699707,,0.0009288787841796875,0.11757063865661621,,0.8433997631072998,0.2814478874206543,0.031805992126464844,0.14161014556884766,0.025310993194580078,1.475614309310913,3763.0,32.0,0.01005,500.0,electrons,['ux'],"{'ux': [-0.00011881396338614731, 0.00017925366700312126], 'uy': [6.68498903645834e-05, 0.00031670917711415053], 'uz': [2.6428103322899144e-05, 0.000249603688181954]}",416114.0
1.0,1.00%,"('ux','uy','uz')",1.0,Original,,,,,False,,,,,,,147.0896031856537,0.9986741542816162,1.5970547199249268,0.27207231521606445,0.03495025634765625,150.0137722492218,,,0.009909,500.0,electrons,"['ux','uz']","{'ux': [-8.890945734375664e-06, 0.0002357682053918491], 'uy': [-0.0006863968801867761, -0.00014716281507281236], 'uz': [-0.0004945432956416645, 4.717668594177832e-05]}",410273.0
1.0,1.00%,"('ux','uy','uz')",22.0,GeoIndex,Min-Max,File,None,True,False,True,0.09513998031616211,0.010132074356079102,,,0.014204263687133789,20.953528881072998,0.35051727294921875,0.0194394588470459,0.06658124923706055,0.01327204704284668,21.54473066329956,3386.0,3386.0,0.009909,500.0,electrons,"['ux','uz']","{'ux': [-8.890945734375664e-06, 0.0002357682053918491], 'uy': [-0.0006863968801867761, -0.00014716281507281236], 'uz': [-0.0004945432956416645, 4.717668594177832e-05]}",410273.0
1.0,1.00%,"('ux','uy','uz')",23.0,GeoIndex,Rtree,File,None,True,False,True,0.02671337127685547,,,,0.013546466827392578,21.126673698425293,0.34819865226745605,0.019423723220825195,0.06584572792053223,0.013393163681030273,21.62281894683838,3386.0,3386.0,0.009909,500.0,electrons,"['ux','uz']","{'ux': [-8.890945734375664e-06, 0.0002357682053918491], 'uy': [-0.0006863968801867761, -0.00014716281507281236], 'uz': [-0.0004945432956416645, 4.717668594177832e-05]}",410273.0
1.0,1.00%,"('ux','uy','uz')",24.0,GeoIndex,Min-Max,File,None,False,True,True,0.09746384620666504,0.007584571838378906,0.0010416507720947266,0.11645150184631348,,0.9690656661987305,0.228043794631958,0.02880263328552246,0.1322636604309082,0.02265787124633789,1.6205499172210693,3386.0,45.0,0.009909,500.0,electrons,"['ux','uz']","{'ux': [-8.890945734375664e-06, 0.0002357682053918491], 'uy': [-0.0006863968801867761, -0.00014716281507281236], 'uz': [-0.0004945432956416645, 4.717668594177832e-05]}",410273.0
1.0,1.00%,"('ux','uy','uz')",25.0,GeoIndex,Rtree,File,None,False,True,True,0.02695775032043457,,0.0008819103240966797,0.11872315406799316,,0.9286556243896484,0.23089289665222168,0.029307842254638672,0.13317656517028809,0.02276897430419922,1.4970800876617432,3386.0,45.0,0.009909,500.0,electrons,"['ux','uz']","{'ux': [-8.890945734375664e-06, 0.0002357682053918491], 'uy': [-0.0006863968801867761, -0.00014716281507281236], 'uz': [-0.0004945432956416645, 4.717668594177832e-05]}",410273.0
