query_seq,target_percentage,select_set,test_type,test_name,index_type,storage,secondary,direct_block_read,read_groups,query_index_time_elapsed,remove_duplication_time_elapsed,sort_block_metadata_time_elapsed,find_optimal_read_solution_time_elapsed,generate_select_array_time_elapsed,get_target_data_time_elapsed,get_support_data_time_elapsed,data_calculation_time_elapsed,data_apply_select_time_elapsed,apply_particle_level_select_array_time_elapsed,total_time_elapsed,query_result_size,current_percentage,iteration,species,expand_set,envelope,data_size
0,0.01%,"('ux',)",2,GeoIndex,Min-Max,File,None,True,False,0.028699398040771484,1.6689300537109375e-06,,,0.023682117462158203,162.03415489196777,27.31000256538391,156.77210235595703,14.97513222694397,1.3376572132110596,364.3490355014801,5782,0.0001,10000,hydrogen,{'ux'},"{'ux': [0.0020060175234549965, 0.0020083499991353343]}",1314529.0
0,0.01%,"('ux',)",3,GeoIndex,Rtree,File,None,True,False,0.03821396827697754,1.6689300537109375e-06,,,0.023567914962768555,156.84073138237,32.89042377471924,82.16619396209717,10.93653154373169,1.3323993682861328,285.0782034397125,5782,0.0001,10000,hydrogen,{'ux'},"{'ux': [0.0020060175234549965, 0.0020083499991353343]}",1314529.0
0,0.01%,"('ux',)",4,GeoIndex,Min-Max,File,None,False,True,0.027862548828125,1.6689300537109375e-06,0.0022516250610351562,0.09822797775268555,7.784456253051758,292.6770439147949,0.0,0.0,0.0,0.0,,5782,0.0001,10000,hydrogen,{'ux'},"{'ux': [0.0020060175234549965, 0.0020083499991353343]}",
0,0.01%,"('ux',)",5,GeoIndex,Rtree,File,None,False,True,0.03819894790649414,1.9073486328125e-06,0.00228118896484375,0.09762263298034668,7.8191633224487305,319.25824785232544,0.0,0.0,0.0,0.0,,5782,0.0001,10000,hydrogen,{'ux'},"{'ux': [0.0020060175234549965, 0.0020083499991353343]}",
1,0.01%,"('ux',)",2,GeoIndex,Min-Max,File,None,True,False,0.03625226020812988,1.430511474609375e-06,,,0.03285503387451172,217.6538600921631,27.426417112350464,0.0,0.0,0.0,,8040,0.000101,10000,hydrogen,{'ux'},"{'ux': [-0.0001250131190829324, -0.0001247448569633433]}",
1,0.01%,"('ux',)",3,GeoIndex,Rtree,File,None,True,False,0.04689335823059082,1.6689300537109375e-06,,,0.032518625259399414,223.66374897956848,50.17936301231384,0.0,0.0,0.0,,8040,0.000101,10000,hydrogen,{'ux'},"{'ux': [-0.0001250131190829324, -0.0001247448569633433]}",
1,0.01%,"('ux',)",4,GeoIndex,Min-Max,File,None,False,True,0.03673267364501953,1.430511474609375e-06,0.002815723419189453,0.13359427452087402,8.58088994026184,515.0631823539734,0.0,0.0,0.0,0.0,,8040,0.000101,10000,hydrogen,{'ux'},"{'ux': [-0.0001250131190829324, -0.0001247448569633433]}",
1,0.01%,"('ux',)",5,GeoIndex,Rtree,File,None,False,True,0.047154903411865234,2.384185791015625e-06,0.0028412342071533203,0.13316798210144043,8.477855443954468,283.2581343650818,0.0,0.0,0.0,0.0,,8040,0.000101,10000,hydrogen,{'ux'},"{'ux': [-0.0001250131190829324, -0.0001247448569633433]}",
2,0.01%,"('ux',)",2,GeoIndex,Min-Max,File,None,True,False,0.033509016036987305,2.1457672119140625e-06,,,0.029216766357421875,198.30929136276245,33.50763750076294,0.0,0.0,0.0,,7303,0.000101,10000,hydrogen,{'ux'},"{'ux': [-0.00034973556361099354, -0.0003487858703561555]}",
2,0.01%,"('ux',)",3,GeoIndex,Rtree,File,None,True,False,0.04361295700073242,1.9073486328125e-06,,,0.029756546020507812,191.8847246170044,34.51826596260071,0.0,0.0,0.0,,7303,0.000101,10000,hydrogen,{'ux'},"{'ux': [-0.00034973556361099354, -0.0003487858703561555]}",
2,0.01%,"('ux',)",4,GeoIndex,Min-Max,File,None,False,True,0.03369140625,1.6689300537109375e-06,0.002621173858642578,0.12241911888122559,8.233308553695679,530.9090552330017,0.0,0.0,0.0,0.0,,7303,0.000101,10000,hydrogen,{'ux'},"{'ux': [-0.00034973556361099354, -0.0003487858703561555]}",
2,0.01%,"('ux',)",5,GeoIndex,Rtree,File,None,False,True,0.043493032455444336,1.430511474609375e-06,0.002712726593017578,0.12376523017883301,8.210782527923584,286.59857392311096,0.0,0.0,0.0,0.0,,7303,0.000101,10000,hydrogen,{'ux'},"{'ux': [-0.00034973556361099354, -0.0003487858703561555]}",
3,0.01%,"('ux',)",2,GeoIndex,Min-Max,File,None,True,False,0.028165817260742188,2.384185791015625e-06,,,0.023995161056518555,161.03142714500427,28.018993616104126,59.28350257873535,11.213634729385376,1.3480589389801025,261.91128635406494,5923,0.0001,10000,hydrogen,{'ux'},"{'ux': [-0.001767449152699899, -0.0017656660950037396]}",1306886.0
3,0.01%,"('ux',)",3,GeoIndex,Rtree,File,None,True,False,0.038784027099609375,1.9073486328125e-06,,,0.02393627166748047,160.09424948692322,27.638957500457764,59.40603804588318,10.966100454330444,1.336099624633789,260.4445071220398,5923,0.0001,10000,hydrogen,{'ux'},"{'ux': [-0.001767449152699899, -0.0017656660950037396]}",1306886.0
3,0.01%,"('ux',)",4,GeoIndex,Min-Max,File,None,False,True,0.028679847717285156,1.6689300537109375e-06,0.002286195755004883,0.10217022895812988,7.88729453086853,297.92279863357544,0.0,0.0,0.0,0.0,,5923,0.0001,10000,hydrogen,{'ux'},"{'ux': [-0.001767449152699899, -0.0017656660950037396]}",
3,0.01%,"('ux',)",5,GeoIndex,Rtree,File,None,False,True,0.03897523880004883,1.9073486328125e-06,0.0022945404052734375,0.09922909736633301,8.65012788772583,301.0476584434509,0.0,0.0,0.0,0.0,,5923,0.0001,10000,hydrogen,{'ux'},"{'ux': [-0.001767449152699899, -0.0017656660950037396]}",
